date,n_articles,n_coffee,n_sources,pct_up,pct_down,pct_stable,pct_mixed,dir_score,dir_entropy,price_median,price_mean,price_cv,pct_has_price,price_change_median,certainty_mean,pct_high_cert,dir_score_lag1,dir_score_lag2,dir_score_lag3,pct_up_lag1,pct_up_lag2,pct_up_lag3,pct_down_lag1,pct_down_lag2,pct_down_lag3,dir_entropy_lag1,dir_entropy_lag2,dir_entropy_lag3,price_cv_lag1,price_cv_lag2,price_cv_lag3,n_articles_lag1,n_articles_lag2,n_articles_lag3,n_sources_lag1,n_sources_lag2,n_sources_lag3,n_coffee_lag1,n_coffee_lag2,n_coffee_lag3,price_change_median_lag1,price_change_median_lag2,price_change_median_lag3,certainty_mean_lag1,certainty_mean_lag2,certainty_mean_lag3,dir_score_roll3,price_cv_roll3,n_articles_roll3,n_coffee_roll3,price_change_median_roll3,certainty_mean_roll3,SIG_MAJORITY_UP,SIG_MAJORITY_DOWN,SIG_BULLISH,SIG_BEARISH,SIG_NEUTRAL,SIG_SPLIT_SIGNAL,SIG_HIGH_ENTROPY,SIG_MANY_ARTICLES,SIG_MANY_SOURCES,SIG_HIGH_CONFIDENCE
2023-03-11,6,1,6,0.0,1.0,0.0,0.0,-1.0,0.0,95500.0,95500.0,0.0,1.0,-900.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,6.0,1.0,-900.0,2.0,0,1,0,0,0,0,0,0,1,1
2023-03-12,12,7,6,0.0,0.7142857142857143,0.0,0.2857142857142857,-0.7142857142857143,0.863120568566631,95300.0,94700.0,0.02103997766121571,1.0,-900.0,2.0,1.0,-1.0,,,0.0,,,1.0,,,0.0,,,0.0,,,6.0,,,6.0,,,1.0,,,-900.0,,,2.0,,,-0.8571428571428572,0.010519988830607854,9.0,4.0,-900.0,2.0,0,1,0,1,0,0,0,1,1,1
2023-03-13,12,0,11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,-0.7142857142857143,-1.0,,0.0,0.0,,0.7142857142857143,1.0,,0.863120568566631,0.0,,0.02103997766121571,0.0,,12.0,6.0,,6.0,6.0,,7.0,1.0,,-900.0,-900.0,,2.0,2.0,,-0.5714285714285715,0.007013325887071903,10.0,2.6666666666666665,-900.0,2.0,0,0,0,0,1,0,0,1,1,0
2023-03-14,5,1,5,1.0,0.0,0.0,0.0,1.0,0.0,48000.0,48000.0,0.0,1.0,8000.0,2.0,1.0,0.0,-0.7142857142857143,-1.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.863120568566631,0.0,0.0,0.02103997766121571,0.0,12.0,12.0,6.0,11.0,6.0,6.0,0.0,7.0,1.0,,-900.0,-900.0,,2.0,2.0,0.09523809523809519,0.007013325887071903,9.666666666666666,2.6666666666666665,3550.0,2.0,1,0,0,0,0,0,0,0,1,1
2023-03-15,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,1.0,0.0,-0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.863120568566631,0.0,0.0,0.02103997766121571,5.0,12.0,12.0,5.0,11.0,6.0,1.0,0.0,7.0,8000.0,,-900.0,2.0,,2.0,0.3333333333333333,0.0,6.666666666666667,0.3333333333333333,8000.0,2.0,0,0,0,0,1,0,0,0,0,0
2023-03-16,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,12.0,3.0,5.0,11.0,0.0,1.0,0.0,,8000.0,,,2.0,,0.3333333333333333,0.0,3.6666666666666665,0.3333333333333333,8000.0,2.0,0,0,0,0,1,0,0,0,0,0
2023-03-17,5,0,4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,3.0,3.0,5.0,0.0,0.0,1.0,,,8000.0,,,2.0,0.0,0.0,3.6666666666666665,0.0,,,0,0,0,0,1,0,0,0,0,0
2023-03-18,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,,,,,,,0.0,0.0,3.3333333333333335,0.0,,,0,0,0,0,1,0,0,0,0,0
2023-03-19,5,1,5,0.0,0.0,0.0,1.0,0.0,0.0,92300.0,92300.0,0.0,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,,,,,,,0.0,0.0,4.0,0.3333333333333333,,2.0,0,0,0,0,1,0,0,0,1,1
2023-03-20,4,1,3,0.0,1.0,0.0,0.0,-1.0,0.0,46200.0,46200.0,0.0,1.0,-1400.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,2.0,4.0,1.0,0.0,0.0,,,,2.0,,,-0.3333333333333333,0.0,3.6666666666666665,0.6666666666666666,-1400.0,2.0,0,1,0,0,0,0,0,0,0,1
2023-03-21,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,3.0,5.0,2.0,1.0,1.0,0.0,-1400.0,,,2.0,2.0,,-0.3333333333333333,0.0,4.333333333333333,0.6666666666666666,-1400.0,2.0,0,0,0,0,1,0,0,0,0,0
2023-03-22,4,2,3,0.5,0.5,0.0,0.0,0.0,1.0,70000.0,70000.0,0.4848732213850611,1.0,,1.5,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,3.0,5.0,0.0,1.0,1.0,,-1400.0,,,2.0,2.0,-0.3333333333333333,0.16162440712835371,4.0,1.0,-1400.0,1.75,0,0,0,0,1,1,0,0,0,1
2023-03-23,28,25,5,0.96,0.0,0.04,0.0,0.96,0.24229218908241482,93500.0,91280.0,0.12160385626643296,1.0,600.0,2.0,1.0,0.0,0.0,-1.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.4848732213850611,0.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,0.0,1.0,,,-1400.0,1.5,,2.0,0.31999999999999995,0.20215902588383136,12.0,9.0,600.0,1.75,1,0,1,0,0,0,0,1,1,1
2023-03-24,7,3,6,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.9182958340544896,93500.0,75000.0,0.42723919920032305,1.0,600.0,2.0,1.0,0.96,0.0,0.0,0.96,0.5,0.0,0.0,0.5,0.0,0.24229218908241482,1.0,0.0,0.12160385626643296,0.4848732213850611,0.0,28.0,4.0,4.0,5.0,3.0,4.0,25.0,2.0,0.0,600.0,,,2.0,1.5,,0.5422222222222222,0.34457209228393904,13.0,10.0,600.0,1.8333333333333333,1,0,1,0,0,0,0,0,1,1
2023-03-25,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.6666666666666666,0.96,0.0,0.6666666666666666,0.96,0.5,0.0,0.0,0.5,0.9182958340544896,0.24229218908241482,1.0,0.42723919920032305,0.12160385626643296,0.4848732213850611,7.0,28.0,4.0,6.0,5.0,3.0,3.0,25.0,2.0,600.0,600.0,,2.0,2.0,1.5,0.5422222222222222,0.18294768515558535,13.0,9.333333333333334,600.0,2.0,0,0,0,0,1,0,0,0,0,0
2023-03-26,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.6666666666666666,0.96,0.0,0.6666666666666666,0.96,0.0,0.0,0.0,0.0,0.9182958340544896,0.24229218908241482,0.0,0.42723919920032305,0.12160385626643296,4.0,7.0,28.0,4.0,6.0,5.0,0.0,3.0,25.0,,600.0,600.0,,2.0,2.0,0.22222222222222218,0.14241306640010767,5.333333333333333,1.0,600.0,2.0,0,0,0,0,1,0,0,0,1,0
2023-03-27,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.0,0.0,0.42723919920032305,5.0,4.0,7.0,5.0,4.0,6.0,0.0,0.0,3.0,,,600.0,,,2.0,0.0,0.0,3.6666666666666665,0.0,,,0,0,0,0,1,0,0,0,0,0
2023-03-28,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,2.0,5.0,4.0,0.0,0.0,0.0,,,,,,,0.0,0.0,4.0,0.0,,,0,0,0,0,1,0,0,0,1,0
2023-03-29,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,,,,,,,0.0,0.0,3.3333333333333335,0.0,,,0,0,0,0,1,0,0,0,0,0
2023-03-30,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,,,,,,,0.0,0.0,4.0,0.0,,,0,0,0,0,1,0,0,0,0,0
2023-03-31,4,1,4,1.0,0.0,0.0,0.0,1.0,0.0,49000.0,49000.0,0.0,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,4.0,3.0,5.0,0.0,0.0,0.0,,,,,,,0.3333333333333333,0.0,3.6666666666666665,0.3333333333333333,,2.0,1,0,0,0,0,0,0,0,0,1
2023-04-01,4,2,4,0.5,0.5,0.0,0.0,0.0,1.0,48400.0,48400.0,0.0029219288478782956,1.0,650.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,,,,2.0,,,0.3333333333333333,0.0009739762826260985,4.0,1.0,650.0,2.0,0,0,0,0,1,1,0,0,0,1
2023-04-02,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0029219288478782956,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,650.0,,,2.0,2.0,,0.3333333333333333,0.0009739762826260985,3.0,1.0,650.0,2.0,0,0,0,0,1,0,0,0,0,0
2023-04-03,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0029219288478782956,0.0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,2.0,1.0,,650.0,,,2.0,2.0,0.0,0.0009739762826260985,2.3333333333333335,0.6666666666666666,650.0,2.0,0,0,0,0,1,0,0,0,0,0
