date,n_articles_d,n_sources_d,pct_tang_d,pct_giam_d,pct_on_dinh_d,dir_score_ts_d,dir_score_body_d,dir_entropy_d,price_cv_ts_d,price_median_ts_d,pct_has_price_ts_d,dir_score_ts_d_lag1,dir_score_ts_d_lag2,dir_score_ts_d_lag3,dir_score_body_d_lag1,dir_score_body_d_lag2,dir_score_body_d_lag3,pct_tang_d_lag1,pct_tang_d_lag2,pct_tang_d_lag3,pct_giam_d_lag1,pct_giam_d_lag2,pct_giam_d_lag3,dir_entropy_d_lag1,dir_entropy_d_lag2,dir_entropy_d_lag3,price_cv_ts_d_lag1,price_cv_ts_d_lag2,price_cv_ts_d_lag3,n_articles_d_lag1,n_articles_d_lag2,n_articles_d_lag3,n_sources_d_lag1,n_sources_d_lag2,n_sources_d_lag3,dir_score_ts_d_roll3,price_cv_ts_d_roll3,n_articles_d_roll3,SIG_MAJORITY_TANG,SIG_MAJORITY_GIAM,SIG_BULLISH,SIG_BEARISH,SIG_NEUTRAL,SIG_SPLIT_SIGNAL,SIG_HIGH_DISAGR,SIG_LOW_DISAGR,SIG_HIGH_ENTROPY,SIG_MANY_SOURCES,SIG_MANY_ARTICLES,SIG_CONFIDENT_DISAGR
2023-03-11,7.0,7.0,0.4286,0.1429,0.0,0.2857,0.05,0.9249,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,1,1,0
2023-03-12,6.0,6.0,0.0,0.0,0.0,0.0,0.6771,0.0,0.0,,0.0,0.2857,,,0.05,,,0.4286,,,0.1429,,,0.9249,,,0.0,,,7.0,,,7.0,,,0.2857,0.0,7.0,0,0,0,0,1,0,0,1,0,1,0,0
2023-03-13,10.0,9.0,0.4,0.1,0.0,0.3,0.4042,0.861,0.0,,0.0,0.0,0.2857,,0.6771,0.05,,0.0,0.4286,,0.0,0.1429,,0.0,0.9249,,0.0,0.0,,6.0,7.0,,6.0,7.0,,0.14285,0.0,6.5,0,0,1,0,0,0,0,1,0,1,1,0
2023-03-14,6.0,6.0,0.1667,0.0,0.0,0.1667,0.026,0.4308,0.0,48000.0,0.1667,0.3,0.0,0.2857,0.4042,0.6771,0.05,0.4,0.0,0.4286,0.1,0.0,0.1429,0.861,0.0,0.9249,0.0,0.0,0.0,10.0,6.0,7.0,9.0,6.0,7.0,0.19523333333333334,0.0,7.666666666666667,0,0,1,0,0,0,0,1,0,1,0,0
2023-03-15,7.0,6.0,0.0,0.1429,0.0,-0.1429,0.462,0.4011,0.0,90700.0,0.1429,0.1667,0.3,0.0,0.026,0.4042,0.6771,0.1667,0.4,0.0,0.0,0.1,0.0,0.4308,0.861,0.0,0.0,0.0,0.0,6.0,10.0,6.0,6.0,9.0,6.0,0.15556666666666666,0.0,7.333333333333333,0,0,0,0,1,0,0,1,0,1,1,0
2023-03-16,5.0,4.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,,0.0,-0.1429,0.1667,0.3,0.462,0.026,0.4042,0.0,0.1667,0.4,0.1429,0.0,0.1,0.4011,0.4308,0.861,0.0,0.0,0.0,7.0,6.0,10.0,6.0,6.0,9.0,0.10793333333333333,0.0,7.666666666666667,0,0,0,0,1,0,0,1,0,1,0,0
2023-03-17,6.0,5.0,0.0,0.0,0.0,0.0,0.4864,0.0,0.0,100000.0,0.1667,0.0,-0.1429,0.1667,0.4,0.462,0.026,0.0,0.0,0.1667,0.0,0.1429,0.0,0.0,0.4011,0.4308,0.0,0.0,0.0,5.0,7.0,6.0,4.0,6.0,6.0,0.007933333333333329,0.0,6.0,0,0,0,0,1,0,0,1,0,1,0,0
2023-03-18,7.0,7.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,,0.0,0.0,0.0,-0.1429,0.4864,0.4,0.462,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.4011,0.0,0.0,0.0,6.0,5.0,7.0,5.0,4.0,6.0,-0.04763333333333333,0.0,6.0,0,0,0,0,1,0,0,1,0,1,1,0
2023-03-19,4.0,4.0,0.0,0.0,0.0,0.0,0.1818,0.0,0.0,,0.0,0.0,0.0,0.0,0.1875,0.4864,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,7.0,5.0,4.0,0.0,0.0,6.0,0,0,0,0,1,0,0,1,0,1,0,0
2023-03-20,7.0,6.0,0.0,0.0,0.0,0.0,-0.4167,0.0,0.0,,0.0,0.0,0.0,0.0,0.1818,0.1875,0.4864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,4.0,7.0,5.0,0.0,0.0,5.666666666666667,0,0,0,0,1,0,0,1,0,1,1,0
