date,n_articles_d,n_sources_d,pct_tang_d,pct_giam_d,pct_on_dinh_d,dir_score_ts_d,dir_score_body_d,dir_entropy_d,price_cv_ts_d,price_median_ts_d,pct_has_price_ts_d,dir_score_ts_d_lag1,dir_score_ts_d_lag2,dir_score_ts_d_lag3,dir_score_body_d_lag1,dir_score_body_d_lag2,dir_score_body_d_lag3,pct_tang_d_lag1,pct_tang_d_lag2,pct_tang_d_lag3,pct_giam_d_lag1,pct_giam_d_lag2,pct_giam_d_lag3,dir_entropy_d_lag1,dir_entropy_d_lag2,dir_entropy_d_lag3,price_cv_ts_d_lag1,price_cv_ts_d_lag2,price_cv_ts_d_lag3,n_articles_d_lag1,n_articles_d_lag2,n_articles_d_lag3,n_sources_d_lag1,n_sources_d_lag2,n_sources_d_lag3,dir_score_ts_d_roll3,price_cv_ts_d_roll3,n_articles_d_roll3,SIG_MAJORITY_TANG,SIG_MAJORITY_GIAM,SIG_BULLISH,SIG_BEARISH,SIG_NEUTRAL,SIG_SPLIT_SIGNAL,SIG_HIGH_DISAGR,SIG_LOW_DISAGR,SIG_HIGH_ENTROPY,SIG_MANY_SOURCES,SIG_MANY_ARTICLES,SIG_CONFIDENT_DISAGR
2023-03-11,12.0,11.0,0.0833,0.0833,0.0,0.0,0.2167,0.5975,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,1,1,0
2023-03-12,7.0,7.0,0.1429,0.0,0.0,0.1429,0.556,0.4011,0.0,,0.0,0.0,,,0.2167,,,0.0833,,,0.0833,,,0.5975,,,0.0,,,12.0,,,11.0,,,0.0,0.0,12.0,0,0,0,0,1,0,0,1,0,1,1,0
2023-03-13,9.0,9.0,0.3333,0.1111,0.0,0.2222,0.7369,0.8805,0.0,,0.0,0.1429,0.0,,0.556,0.2167,,0.1429,0.0833,,0.0,0.0833,,0.4011,0.5975,,0.0,0.0,,7.0,12.0,,7.0,11.0,,0.07145,0.0,9.5,0,0,1,0,0,0,0,1,0,1,1,0
2023-03-14,10.0,10.0,0.1,0.0,0.0,0.1,0.1094,0.3322,0.0,48000.0,0.1,0.2222,0.1429,0.0,0.7369,0.556,0.2167,0.3333,0.1429,0.0833,0.1111,0.0,0.0833,0.8805,0.4011,0.5975,0.0,0.0,0.0,9.0,7.0,12.0,9.0,7.0,11.0,0.12169999999999999,0.0,9.333333333333334,0,0,0,0,1,0,0,1,0,1,1,0
2023-03-15,10.0,10.0,0.0,0.1,0.0,-0.1,0.4718,0.3322,0.0,,0.0,0.1,0.2222,0.1429,0.1094,0.7369,0.556,0.1,0.3333,0.1429,0.0,0.1111,0.0,0.3322,0.8805,0.4011,0.0,0.0,0.0,10.0,9.0,7.0,10.0,9.0,7.0,0.15503333333333333,0.0,8.666666666666666,0,0,0,0,1,0,0,1,0,1,1,0
2023-03-16,9.0,9.0,0.0,0.1111,0.0,-0.1111,0.7333,0.3522,0.0,,0.0,-0.1,0.1,0.2222,0.4718,0.1094,0.7369,0.0,0.1,0.3333,0.1,0.0,0.1111,0.3322,0.3322,0.8805,0.0,0.0,0.0,10.0,10.0,9.0,10.0,10.0,9.0,0.07406666666666668,0.0,9.666666666666666,0,0,0,0,1,0,0,1,0,1,1,0
2023-03-17,5.0,5.0,0.0,0.0,0.0,0.0,0.4773,0.0,0.0,100000.0,0.2,-0.1111,-0.1,0.1,0.7333,0.4718,0.1094,0.0,0.0,0.1,0.1111,0.1,0.0,0.3522,0.3322,0.3322,0.0,0.0,0.0,9.0,10.0,10.0,9.0,10.0,10.0,-0.037033333333333335,0.0,9.666666666666666,0,0,0,0,1,0,0,1,0,1,0,0
2023-03-18,4.0,4.0,0.5,0.25,0.0,0.25,0.6488,1.0,0.0,143000.0,0.25,0.0,-0.1111,-0.1,0.4773,0.7333,0.4718,0.0,0.0,0.0,0.0,0.1111,0.1,0.0,0.3522,0.3322,0.0,0.0,0.0,5.0,9.0,10.0,5.0,9.0,10.0,-0.07036666666666667,0.0,8.0,0,0,1,0,0,0,0,1,0,1,0,0
2023-03-19,5.0,5.0,0.0,0.4,0.0,-0.4,0.3051,0.5288,0.0,,0.0,0.25,0.0,-0.1111,0.6488,0.4773,0.7333,0.5,0.0,0.0,0.25,0.0,0.1111,1.0,0.0,0.3522,0.0,0.0,0.0,4.0,5.0,9.0,4.0,5.0,9.0,0.0463,0.0,6.0,0,0,0,1,0,0,0,1,0,1,0,0
2023-03-20,6.0,6.0,0.1667,0.1667,0.0,0.0,-0.5,0.8617,0.0,135000.0,0.1667,-0.4,0.25,0.0,0.3051,0.6488,0.4773,0.0,0.5,0.0,0.4,0.25,0.0,0.5288,1.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,4.0,5.0,-0.05000000000000001,0.0,4.666666666666667,0,0,0,0,1,0,0,1,0,1,1,0
2023-03-21,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.4,0.25,-0.5,0.3051,0.6488,0.1667,0.0,0.5,0.1667,0.4,0.25,0.8617,0.5288,1.0,0.0,0.0,0.0,6.0,5.0,4.0,6.0,5.0,4.0,-0.05000000000000001,0.0,5.0,0,0,0,0,1,0,0,1,0,1,0,0
2023-03-22,4.0,4.0,0.0,0.0,0.0,0.0,-0.0815,0.0,0.0,,0.0,0.0,0.0,-0.4,0.0,-0.5,0.3051,0.0,0.1667,0.0,0.0,0.1667,0.4,0.0,0.8617,0.5288,0.0,0.0,0.0,3.0,6.0,5.0,3.0,6.0,5.0,-0.13333333333333333,0.0,4.666666666666667,0,0,0,0,1,0,0,1,0,1,0,0
