"Date,Price,Open,High,Low,Vol.,Change %,Gia_Viet_Nam"
"03/11/2026,287.4,293.6,294.0,283.5,18.38K,-2.84%,166447.255908"
"03/10/2026,295.8,295.0,297.25,292.05,14.88K,-0.37%,171312.102636"
"03/09/2026,296.9,296.95,301.65,293.15,17.56K,1.23%,171949.16589799998"
"03/06/2026,293.3,294.25,297.5,289.65,15.61K,1.56%,169864.231586"
"03/05/2026,288.8,287.05,296.0,285.0,14.73K,0.89%,167258.063696"
"03/04/2026,286.25,283.5,289.55,282.4,15.42K,1.09%,165781.23522499998"
"03/03/2026,283.15,284.65,290.9,278.9,17.58K,-0.51%,163985.875123"
"03/02/2026,284.6,279.9,285.95,277.55,15.59K,1.37%,164825.640332"
"02/27/2026,280.75,280.75,282.6,276.1,13.70K,-0.55%,162595.918915"
"02/26/2026,282.3,284.4,285.35,280.2,9.37K,-0.90%,163493.598966"
"02/25/2026,284.85,285.0,286.75,280.75,10.74K,-0.23%,164970.427437"
"02/24/2026,285.5,276.8,285.8,275.35,15.97K,2.68%,165346.87391"
"02/23/2026,278.05,284.0,285.5,277.05,12.62K,-2.68%,161032.218181"
"02/20/2026,285.7,288.15,291.45,280.95,15.32K,0.11%,165462.703594"
"02/19/2026,285.4,285.2,287.95,275.65,19.42K,0.09%,165288.95906799997"
"02/18/2026,285.15,283.75,287.25,280.6,18.58K,0.72%,165144.17196299997"
"02/17/2026,283.1,295.05,297.2,280.15,27.32K,-5.10%,163956.917702"
"02/13/2026,298.3,298.75,305.85,296.15,18.59K,0.29%,172759.97368599998"
"02/12/2026,297.45,295.0,299.9,292.9,25.83K,1.57%,172267.697529"
"02/11/2026,292.85,291.0,295.45,289.7,27.29K,0.74%,169603.61479700002"
"02/10/2026,290.7,295.3,297.9,289.05,31.42K,-1.07%,168358.44569399997"
"02/09/2026,293.85,287.95,296.95,285.5,33.93K,-0.91%,170182.763217"
"02/06/2026,296.55,312.05,315.0,293.65,29.51K,-3.84%,171746.463951"
"02/05/2026,308.4,310.15,313.0,301.6,24.24K,-0.08%,178609.37272799996"
"02/04/2026,308.65,319.4,324.8,307.1,29.01K,-2.66%,178754.15983299998"
"02/03/2026,317.1,335.55,337.75,314.8,24.08K,-4.85%,183647.96398200002"
"02/02/2026,333.25,331.75,338.25,331.0,16.01K,0.30%,193001.210965"
"01/30/2026,332.25,344.5,345.5,330.9,25.47K,-3.84%,192422.062545"
"01/29/2026,345.5,351.55,352.55,344.6,15.06K,-1.57%,200095.77911"
"01/28/2026,351.0,371.0,372.55,349.8,21.41K,-4.42%,203281.09542"
"01/27/2026,367.25,357.2,370.0,357.0,18.39K,3.09%,212692.25724500002"
"01/26/2026,356.25,351.55,359.0,351.5,12.74K,1.52%,206321.624625"
"01/23/2026,350.9,347.75,355.35,346.85,12.67K,0.92%,203223.18057799997"
"01/22/2026,347.7,346.9,350.15,344.25,12.19K,0.06%,201369.905634"
"01/21/2026,347.5,346.3,348.2,341.8,18.70K,0.29%,201254.07595"
"01/20/2026,346.5,353.8,355.65,345.55,16.72K,-2.48%,200674.92752999996"
"01/16/2026,355.3,358.6,361.3,354.6,10.71K,-0.78%,205771.43362599998"
"01/15/2026,358.1,355.9,359.0,350.6,12.33K,0.59%,207393.049202"
"01/14/2026,356.0,362.85,363.35,353.75,13.98K,-1.18%,206176.83752"
"01/13/2026,360.25,359.05,363.55,356.65,16.54K,1.18%,208638.21830500002"
"01/12/2026,356.05,357.6,358.85,352.8,12.67K,-0.45%,206205.79494099997"
"01/09/2026,357.65,372.35,372.9,356.05,18.74K,-3.95%,207132.43241299997"
"01/08/2026,372.35,373.05,383.85,371.65,15.42K,-0.83%,215645.91418700002"
"01/07/2026,375.45,371.35,382.85,371.0,20.43K,0.43%,217441.27428899996"
"01/06/2026,373.85,358.2,374.3,356.8,26.36K,4.04%,216514.636817"
"01/05/2026,359.35,354.55,360.65,350.6,16.95K,0.57%,208116.98472700003"
"01/02/2026,357.3,348.4,358.05,345.2,11.47K,2.45%,206929.73046599998"
"12/31/2025,348.75,349.5,353.85,348.05,6.58K,-0.41%,201978.011475"
"12/30/2025,350.2,350.55,359.3,349.5,11.56K,-0.55%,202817.77668399998"
"12/29/2025,352.15,349.5,354.3,347.05,9.18K,0.54%,203947.11610299998"
"12/26/2025,350.25,345.8,350.7,344.3,7.35K,1.48%,202846.73410499998"
