date,close,open,high,low,Gia_Viet_Nam,Volume,Change_pct,coffee_type
2023-03-01,185.3,188.0,188.0,185.0,107316.202226,50.0,-0.0268,arabica
2023-03-02,183.95,185.0,186.4,180.55,106534.351859,18460.0,-0.0073,arabica
2023-03-03,180.8,181.0,181.7,180.4,104710.034336,10.0,-0.0171,arabica
2023-03-06,182.45,180.8,182.0,180.6,105665.62922899998,10.0,0.0091,arabica
2023-03-07,184.55,182.15,182.15,182.15,106881.840911,0.0,0.0115,arabica
2023-03-08,179.55,180.0,180.0,179.0,103986.098811,10.0,-0.0271,arabica
2023-03-09,178.0,178.15,182.1,177.0,103088.41876,50.0,-0.0086,arabica
2023-03-10,182.25,180.05,182.35,180.05,105549.799545,30.0,0.0239,arabica
2023-03-13,183.2,175.0,183.7,175.0,106099.990544,0.0,0.0052,arabica
2023-03-14,180.9,178.7,179.05,175.1,104767.949178,12790.0,-0.0126,arabica
2023-03-15,178.05,177.25,177.25,177.25,103117.376181,0.0,-0.0158,arabica
2023-03-16,185.5,174.3,181.4,173.5,107432.03191,22990.0,0.0418,arabica
2023-03-17,183.0,181.65,182.25,181.65,105984.16086,70.0,-0.013500000000000002,arabica
2023-03-20,184.9,174.6,178.8,173.35,107084.54285800002,13590.0,0.0104,arabica
2023-03-21,186.7,179.35,182.85,178.85,108127.010014,13970.0,0.0097,arabica
2023-03-22,178.0,179.55,181.1,176.7,103088.41876,13550.0,-0.0466,arabica
2023-03-23,174.3,178.75,179.4,173.9,100945.569606,14590.0,-0.0208,arabica
2023-03-24,179.25,174.8,179.85,172.6,103812.354285,18110.0,0.028399999999999998,arabica
2023-03-27,176.9,178.5,184.0,175.95,102451.355498,23740.0,-0.0131,arabica
2023-03-28,173.75,177.5,178.7,173.5,100627.037975,19190.0,-0.0178,arabica
2023-03-29,169.7,174.7,175.25,168.6,98281.48687399998,25130.0,-0.0233,arabica
2023-03-30,169.8,171.0,172.5,168.15,98339.401716,27280.0,0.0006,arabica
2023-03-31,170.5,170.0,171.7,166.15,98744.80561,32080.0,0.0040999999999999995,arabica
2023-04-03,176.25,171.3,178.35,171.25,102074.909025,25790.0,0.0337,arabica
2023-04-04,174.85,176.1,177.45,173.1,101264.101237,17850.0,-0.0079,arabica
2023-04-05,180.15,175.2,181.5,175.2,104333.587863,23600.0,0.030299999999999997,arabica
2023-04-06,183.6,179.55,184.55,177.95,106331.649912,27060.0,0.0192,arabica
2023-04-10,182.6,183.6,186.8,181.6,105752.50149199998,22690.0,-0.0054,arabica
2023-04-11,190.5,183.45,191.2,183.0,110327.77401,33560.0,0.0433,arabica
2023-04-12,190.25,188.9,191.35,187.6,110182.986905,27160.0,-0.0013,arabica
2023-04-13,196.1,190.0,199.7,189.35,113571.005162,35200.0,0.030699999999999998,arabica
2023-04-14,193.4,195.65,199.65,192.85,112007.304428,11460.0,-0.0138,arabica
2023-04-17,201.0,194.0,201.5,193.5,116408.83242,9530.0,0.0393,arabica
2023-04-18,205.25,201.0,206.95,198.35,118870.213205,9420.0,0.021099999999999997,arabica
2023-04-19,202.55,203.5,207.45,199.75,117306.512471,6870.0,-0.0132,arabica
2023-04-20,195.9,199.2,199.65,194.75,113455.175478,230.0,-0.032799999999999996,arabica
2023-04-21,194.2,197.15,197.15,193.5,112470.623164,80.0,-0.0087,arabica
2023-04-24,196.75,196.35,196.85,195.0,113947.451635,10.0,0.0131,arabica
2023-04-25,192.45,191.0,192.25,191.0,111457.113429,10.0,-0.0219,arabica
2023-04-26,195.85,194.15,195.85,194.15,113426.218057,10.0,0.0177,arabica
2023-04-27,192.1,192.8,192.8,192.1,111254.41148199998,20.0,-0.0191,arabica
2023-04-28,189.85,189.5,190.35,189.1,109951.327537,40.0,-0.011699999999999999,arabica
2023-05-01,189.25,188.25,188.25,187.1,109603.838485,10.0,-0.0032,arabica
