Date,Price,Open,High,Low,Vol.,Change %,Gia_Viet_Nam
2026-03-11,3553.0,"3,692.00","3,696.00","3,543.00",11.61K,-3.76%,93337.31
2026-03-10,3692.0,"3,760.00","3,767.00","3,671.00",7.57K,-2.09%,96988.84
2026-03-09,3771.0,"3,769.00","3,838.00","3,720.00",10.58K,-0.03%,99064.17
2026-03-06,3772.0,"3,789.00","3,822.00","3,736.00",9.66K,0.56%,99090.44
2026-03-05,3751.0,"3,754.00","3,766.00","3,709.00",6.73K,0.46%,98538.77
2026-03-04,3734.0,"3,717.00","3,757.00","3,673.00",7.38K,0.78%,98092.18
2026-03-03,3705.0,"3,762.00","3,799.00","3,678.00",9.32K,-1.78%,97330.35
2026-03-02,3772.0,"3,580.00","3,787.00","3,580.00",15.99K,4.08%,99090.44
2026-02-27,3624.0,"3,650.00","3,650.00","3,590.00",7.46K,-0.41%,95202.48
2026-02-26,3639.0,"3,693.00","3,698.00","3,625.00",6.72K,-1.73%,95596.53
2026-02-25,3703.0,"3,644.00","3,719.00","3,598.00",7.82K,1.73%,97277.81
2026-02-24,3640.0,"3,550.00","3,654.00","3,534.00",8.21K,2.25%,95622.8
2026-02-23,3560.0,"3,604.00","3,606.00","3,517.00",13.10K,-0.86%,93521.2
2026-02-20,3591.0,"3,630.00","3,684.00","3,550.00",10.70K,-0.80%,94335.57
2026-02-19,3620.0,"3,706.00","3,728.00","3,544.00",11.20K,-1.71%,95097.4
2026-02-18,3683.0,"3,623.00","3,703.00","3,623.00",11.04K,1.77%,96752.41
2026-02-17,3619.0,"3,784.00","3,785.00","3,578.00",15.10K,-4.64%,95071.13
2026-02-16,3795.0,"3,790.00","3,841.00","3,762.00",5.09K,-0.13%,99694.65
2026-02-13,3800.0,"3,765.00","3,894.00","3,765.00",8.33K,0.93%,99826.0
2026-02-12,3765.0,"3,726.00","3,801.00","3,717.00",9.26K,1.98%,98906.55
2026-02-11,3692.0,"3,700.00","3,719.00","3,638.00",11.09K,0.24%,96988.84
2026-02-10,3683.0,"3,800.00","3,802.00","3,668.00",11.59K,-2.31%,96752.41
2026-02-09,3770.0,"3,672.00","3,808.00","3,665.00",13.43K,2.78%,99037.9
2026-02-06,3668.0,"3,759.00","3,813.00","3,626.00",15.47K,-2.16%,96358.36
2026-02-05,3749.0,"3,701.00","3,765.00","3,662.00",13.33K,1.63%,98486.23
2026-02-04,3689.0,"3,744.00","3,784.00","3,672.00",14.09K,-0.81%,96910.03
2026-02-03,3719.0,"3,972.00","3,983.00","3,712.00",19.98K,-5.90%,97698.13
2026-02-02,3952.0,"4,019.00","4,033.00","3,932.00",11.04K,0.38%,103819.04
2026-01-30,3937.0,"3,978.00","4,007.00","3,904.00",4.78K,-1.48%,103424.99
2026-01-29,3996.0,"4,015.00","4,045.00","3,976.00",4.85K,0.30%,104974.92
2026-01-28,3984.0,"4,120.00","4,156.00","3,944.00",4.99K,-2.83%,104659.68
2026-01-27,4100.0,"4,022.00","4,127.00","3,993.00",4.87K,-0.32%,107707.0
2026-01-26,4113.0,"4,039.00","4,145.00","4,026.00",9.36K,1.53%,108048.51
2026-01-23,4051.0,"3,947.00","4,114.00","3,939.00",13.26K,2.74%,106419.77
2026-01-22,3943.0,"3,960.00","3,974.00","3,921.00",9.38K,-1.03%,103582.61
2026-01-21,3984.0,"3,880.00","3,995.00","3,845.00",7.47K,3.11%,104659.68
2026-01-20,3864.0,"3,925.00","3,944.00","3,848.00",8.37K,-1.80%,101507.28
2026-01-19,3935.0,"3,930.00","3,953.00","3,889.00",3.24K,0.25%,103372.45
2026-01-16,3925.0,"3,902.00","3,964.00","3,885.00",6.77K,0.05%,103109.75
2026-01-15,3923.0,"3,864.00","3,953.00","3,803.00",5.25K,1.13%,103057.21
2026-01-14,3879.0,"3,889.00","3,919.00","3,838.00",3.36K,-0.08%,101901.33
2026-01-13,3882.0,"3,861.00","3,891.00","3,846.00",2.89K,0.96%,101980.14
2026-01-12,3845.0,"3,800.00","3,862.00","3,797.00",2.95K,0.21%,101008.15
2026-01-09,3837.0,"3,840.00","3,919.00","3,797.00",4.30K,-0.75%,100797.99
2026-01-08,3866.0,"3,886.00","3,934.00","3,836.00",2.72K,-0.26%,101559.82
2026-01-07,3876.0,"3,905.00","3,987.00","3,840.00",5.48K,-1.37%,101822.52
2026-01-06,3930.0,"3,844.00","3,940.00","3,792.00",3.54K,2.24%,103241.1
2026-01-05,3844.0,"3,878.00","3,880.00","3,748.00",3.42K,-0.88%,100981.88
2026-01-02,3878.0,"3,874.00","3,886.00","3,799.00",2.12K,0.15%,101875.06
2025-12-31,3872.0,"3,837.00","3,935.00","3,824.00",2.03K,0.23%,101717.44
2025-12-30,3863.0,"3,813.00","3,910.00","3,803.00",3.69K,1.34%,101481.01
2025-12-29,3812.0,"3,807.00","3,855.00","3,790.00",2.06K,0.50%,100141.24
2025-12-24,3793.0,"3,762.00","3,818.00","3,733.00",1.12K,0.82%,99642.11
2025-12-23,3762.0,"3,738.00","3,807.00","3,708.00",2.94K,1.46%,98827.74
2025-12-22,3708.0,"3,646.00","3,727.00","3,626.00",3.20K,2.63%,97409.16
2025-12-19,3613.0,"3,637.00","3,670.00","3,609.00",4.68K,-0.14%,94913.51
2025-12-18,3618.0,"3,639.00","3,675.00","3,611.00",4.52K,-1.04%,95044.86
2025-12-17,3656.0,"3,747.00","3,754.00","3,633.00",6.06K,-2.84%,96043.12
2025-12-16,3763.0,"3,836.00","3,867.00","3,756.00",4.69K,-2.36%,98854.01
2025-12-15,3854.0,"3,910.00","3,911.00","3,836.00",4.71K,-2.08%,101244.58
2025-12-12,3936.0,"4,035.00","4,038.00","3,917.00",4.43K,-2.53%,103398.72
2025-12-11,4038.0,"4,054.00","4,116.00","4,026.00",2.31K,-0.66%,106078.26
2025-12-10,4065.0,"4,030.00","4,097.00","3,976.00",3.58K,0.77%,106787.55
2025-12-09,4034.0,"4,016.00","4,076.00","4,009.00",3.79K,0.40%,105973.18
2025-12-08,4018.0,"4,077.00","4,095.00","4,012.00",3.22K,-1.95%,105552.86
2025-12-05,4098.0,"4,164.00","4,164.00","4,075.00",3.76K,-1.35%,107654.46
2025-12-04,4154.0,"4,151.00","4,187.00","4,121.00",4.25K,0.46%,109125.58
2025-12-03,4135.0,"4,153.00","4,180.00","4,129.00",2.05K,-0.19%,108626.45
2025-12-02,4143.0,"4,260.00","4,262.00","4,135.00",2.49K,-2.81%,108836.61
2025-12-01,4263.0,"4,300.00","4,306.00","4,208.00",2.01K,-3.40%,111989.01
2025-11-28,4413.0,"4,388.00","4,442.00","4,366.00",7.78K,0.55%,115929.51
2025-11-27,4389.0,"4,388.00","4,409.00","4,357.00",2.87K,0.27%,115299.03
2025-11-26,4377.0,"4,365.00","4,428.00","4,345.00",4.70K,-0.84%,114983.79
2025-11-25,4414.0,"4,350.00","4,431.00","4,333.00",5.24K,-0.88%,115955.78
2025-11-24,4453.0,"4,526.00","4,562.00","4,436.00",6.62K,-1.18%,116980.31
2025-11-21,4506.0,"4,300.00","4,525.00","4,260.00",11.45K,-2.70%,118372.62
2025-11-20,4631.0,"4,529.00","4,689.00","4,512.00",10.46K,2.55%,121656.37
2025-11-19,4516.0,"4,585.00","4,605.00","4,490.00",6.95K,-1.25%,118635.32
2025-11-18,4573.0,"4,461.00","4,602.00","4,443.00",7.93K,2.01%,120132.71
2025-11-17,4483.0,"4,251.00","4,497.00","4,251.00",11.39K,6.16%,117768.41
2025-11-14,4223.0,"4,350.00","4,355.00","4,134.00",11.81K,-2.76%,110938.21
2025-11-13,4343.0,"4,400.00","4,420.00","4,286.00",8.25K,-0.53%,114090.61
