date,close,open,high,low,Gia_Viet_Nam,Volume,Change_pct,coffee_type
2023-03-01,2177.0,2135.0,2190.0,2119.0,57189.79,11960.0,0.0173,robusta
2023-03-02,2180.0,2176.0,2191.0,2165.0,57268.6,6730.0,0.0014000000000000002,robusta
2023-03-03,2162.0,2176.0,2186.0,2151.0,56795.74,6600.0,-0.0083,robusta
2023-03-06,2153.0,2160.0,2171.0,2135.0,56559.31,7550.0,-0.0042,robusta
2023-03-07,2152.0,2159.0,2162.0,2125.0,56533.04,8810.0,-0.0005,robusta
2023-03-08,2159.0,2152.0,2161.0,2138.0,56716.93,5990.0,0.0033,robusta
2023-03-09,2168.0,2159.0,2188.0,2156.0,56953.36,6720.0,0.0042,robusta
2023-03-10,2140.0,2165.0,2172.0,2136.0,56217.8,6550.0,-0.0129,robusta
2023-03-13,2113.0,2140.0,2148.0,2105.0,55508.51,9000.0,-0.0126,robusta
2023-03-14,2080.0,2105.0,2112.0,2077.0,54641.6,8390.0,-0.015600000000000001,robusta
2023-03-15,2069.0,2085.0,2085.0,2051.0,54352.63,11420.0,-0.0053,robusta
2023-03-16,2104.0,2070.0,2114.0,2057.0,55272.08,9660.0,0.0169,robusta
2023-03-17,2064.0,2102.0,2109.0,2060.0,54221.28,8070.0,-0.019,robusta
2023-03-20,2087.0,2052.0,2094.0,2023.0,54825.49,12850.0,0.0111,robusta
2023-03-21,2130.0,2099.0,2141.0,2093.0,55955.1,10100.0,0.0206,robusta
2023-03-22,2112.0,2126.0,2145.0,2105.0,55482.24,5750.0,-0.0085,robusta
2023-03-23,2124.0,2119.0,2133.0,2102.0,55797.48,6150.0,0.005699999999999999,robusta
2023-03-24,2189.0,2130.0,2195.0,2121.0,57505.03,9990.0,0.030600000000000002,robusta
2023-03-27,2214.0,2189.0,2238.0,2175.0,58161.78,14900.0,0.011399999999999999,robusta
2023-03-28,2142.0,2166.0,2192.0,2136.0,56270.34,7280.0,-0.0325,robusta
2023-03-29,2133.0,2145.0,2156.0,2123.0,56033.91,4940.0,-0.0042,robusta
2023-03-30,2171.0,2139.0,2174.0,2139.0,57032.17,6130.0,0.0178,robusta
2023-03-31,2173.0,2169.0,2198.0,2154.0,57084.71,9480.0,0.0009,robusta
2023-04-03,2195.0,2175.0,2198.0,2175.0,57662.65,6360.0,0.0101,robusta
2023-04-04,2219.0,2200.0,2221.0,2188.0,58293.13,7190.0,0.0109,robusta
2023-04-05,2274.0,2214.0,2278.0,2214.0,59737.98,10070.0,0.0248,robusta
2023-04-06,2256.0,2260.0,2277.0,2241.0,59265.12,10320.0,-0.0079,robusta
2023-04-11,2323.0,2256.0,2326.0,2250.0,61025.21,18740.0,0.0297,robusta
2023-04-12,2332.0,2315.0,2335.0,2296.0,61261.64,8990.0,0.0039000000000000003,robusta
2023-04-13,2382.0,2330.0,2401.0,2329.0,62575.14,14280.0,0.021400000000000002,robusta
2023-04-14,2344.0,2387.0,2392.0,2324.0,61576.88,9220.0,-0.016,robusta
2023-04-17,2370.0,2353.0,2373.0,2331.0,62259.9,9670.0,0.0111,robusta
2023-04-18,2379.0,2375.0,2393.0,2333.0,62496.33,14170.0,0.0038,robusta
2023-04-19,2386.0,2374.0,2395.0,2361.0,62680.22,13150.0,0.0029,robusta
2023-04-20,2374.0,2378.0,2392.0,2360.0,62364.98,8220.0,-0.005,robusta
2023-04-21,2382.0,2361.0,2384.0,2358.0,62575.14,6920.0,0.0034000000000000002,robusta
2023-04-24,2444.0,2385.0,2485.0,2385.0,64203.88,14440.0,0.026000000000000002,robusta
2023-04-25,2419.0,2442.0,2442.0,2396.0,63547.13,8630.0,-0.0102,robusta
2023-04-26,2413.0,2424.0,2489.0,2406.0,63389.51,9330.0,-0.0025,robusta
2023-04-27,2405.0,2407.0,2419.0,2377.0,63179.35,7420.0,-0.0033,robusta
2023-04-28,2409.0,2417.0,2420.0,2384.0,63284.43,6620.0,0.0017000000000000001,robusta
2023-05-02,2424.0,2406.0,2430.0,2391.0,63678.48,8500.0,0.0062,robusta
2023-05-03,2424.0,2421.0,2455.0,2404.0,63678.48,6200.0,0.0,robusta
2023-05-04,2412.0,2425.0,2438.0,2405.0,63363.24,4600.0,-0.005,robusta
2023-05-05,2471.0,2411.0,2474.0,2411.0,64913.17,6910.0,0.0245,robusta
2023-05-09,2465.0,2452.0,2484.0,2446.0,64755.55,6640.0,-0.0024,robusta
2023-05-10,2481.0,2470.0,2487.0,2456.0,65175.87,4200.0,0.006500000000000001,robusta
2023-05-11,2393.0,2480.0,2500.0,2386.0,62864.11,10990.0,-0.0355,robusta
2023-05-12,2432.0,2399.0,2449.0,2385.0,63888.64,11790.0,0.0163,robusta
2023-05-15,2488.0,2426.0,2506.0,2420.0,65359.76,6680.0,0.023,robusta
2023-05-16,2511.0,2508.0,2534.0,2470.0,65963.97,7730.0,0.0092,robusta
2023-05-17,2582.0,2510.0,2588.0,2504.0,67829.14,11050.0,0.028300000000000002,robusta
2023-05-18,2540.0,2570.0,2588.0,2526.0,66725.8,8900.0,-0.0163,robusta
