,Date,Value,Gia_Viet_Nam
13594,03/03/2023,1.7782,103003.77314300001
13595,03/06/2023,1.7959,104029.06095350001
13596,03/07/2023,1.8183,105326.6003295
13597,03/08/2023,1.7623,102082.75188950001
13598,03/09/2023,1.7496,101347.09340400001
13599,03/10/2023,1.768,102412.92932000001
13600,03/13/2023,1.7839,103333.95057350001
13601,03/14/2023,1.7511,101433.98220150001
13602,03/15/2023,1.7244,99887.36160599999
13603,03/16/2023,1.7899,103681.50576350001
13604,03/17/2023,1.7601,101955.31498650002
13605,03/20/2023,1.7766,102911.091759
13606,03/21/2023,1.7943,103936.37956950002
13607,03/22/2023,1.7669,102349.2108685
13608,03/23/2023,1.7399,100785.2125135
13609,03/24/2023,1.7861,103461.38747650001
13610,03/27/2023,1.7579,101827.8780835
13611,03/28/2023,1.7336,100420.279564
13612,03/29/2023,1.6926,98045.319099
13613,03/30/2023,1.6931,98074.2820315
13614,03/31/2023,1.6971,98305.9854915
13615,04/03/2023,1.7475,101225.44908750002
13616,04/04/2023,1.7442,101034.293733
13617,04/05/2023,1.7903,103704.67610950001
13618,04/06/2023,1.8241,105662.57034650001
13619,04/07/2023,1.8241,105662.57034650001
13620,04/10/2023,1.8076,104706.79357400001
13621,04/11/2023,1.8736,108529.90066399999
13622,04/12/2023,1.8818,109004.892757
13623,04/13/2023,1.9535,113158.17727750001
13624,04/14/2023,1.929,111738.993585
13625,04/17/2023,1.9868,115087.10858199999
13626,04/18/2023,2.0127,116587.3884855
13627,04/19/2023,1.989,115214.54548500002
13628,04/20/2023,1.9392,112329.837408
13629,04/21/2023,1.9114,110719.498361
13630,04/28/2023,1.8512,107232.361288
13631,05/01/2023,1.8417,106682.06557050001
13632,05/02/2023,1.856,107510.40544
13633,05/03/2023,1.8358,106340.302967
13634,05/04/2023,1.8284,105911.651566
13635,05/05/2023,1.8703,108338.7453095
13636,05/08/2023,1.8337,106218.6586505
13637,05/09/2023,1.8578,107614.671997
13638,05/10/2023,1.8457,106913.7690305
13639,05/11/2023,1.8137,105060.14135050001
13640,05/12/2023,1.8141,105083.31169650001
