Date,Price,Open,High,Low,Vol.,Change %
2023-03-01,103763.085844,105275.01424,105275.01424,103595.0938,50.0,-2.68
2023-03-02,103007.121646,103595.0938,104379.056672,101103.21181400001,18460.0,-0.73
2023-03-03,101243.205184,101355.19988,101747.18131599999,101019.215792,10.0,-1.71
2023-03-06,102167.16142599999,101243.205184,101915.17336,101131.210488,10.0,0.91
2023-03-07,103343.10573400001,101999.16938200001,101999.16938200001,101999.16938200001,0.0,1.15
2023-03-08,100543.23833400001,100795.2264,100795.2264,100235.25292,10.0,-2.71
2023-03-09,99675.27944,99759.275462,101971.17070799999,99115.30596,50.0,-0.86
2023-03-10,102055.16673,100823.225074,102111.164078,100823.225074,30.0,2.39
2023-03-13,102587.141536,97995.359,102867.12827599999,97995.359,0.0,0.52
2023-03-14,101299.202532,100067.26087599999,100263.251594,98051.356348,12790.0,-1.26
2023-03-15,99703.278114,99255.29933,99255.29933,99255.29933,0.0,-1.58
2023-03-16,103875.08054,97603.37756400001,101579.189272,97155.39878,22990.0,4.18
2023-03-17,102475.14684,101719.182642,102055.16673,101719.182642,70.0,-1.35
2023-03-20,103539.096452,97771.369608,100123.258224,97071.402758,13590.0,1.04
2023-03-21,104547.04871599999,100431.243638,102391.150818,100151.25689799999,13970.0,0.97
2023-03-22,99675.27944,100543.23833400001,101411.19722799999,98947.313916,13550.0,-4.66
2023-03-23,97603.37756400001,100095.25955,100459.242312,97379.388172,14590.0,-2.08
2023-03-24,100375.24629,97883.364304,100711.230378,96651.42264799999,18110.0,2.84
2023-03-27,99059.30861200001,99955.26618,103035.12032,98527.333806,23740.0,-1.31
2023-03-28,97295.39215,99395.2927,100067.26087599999,97155.39878,19190.0,-1.78
2023-03-29,95027.499556,97827.366956,98135.35237,94411.52872799999,25130.0,-2.33
2023-03-30,95083.496904,95755.46508,96595.4253,94159.540662,27280.0,0.06
2023-03-31,95475.47834,95195.4916,96147.446516,93039.593702,32080.0,0.41
2023-04-03,98695.32585,95923.45712400001,99871.270158,95895.45845,25790.0,3.37
2023-04-04,97911.36297799999,98611.329828,99367.29402599999,96931.409388,17850.0,-0.79
2023-04-05,100879.222422,98107.35369599999,101635.18662,98107.35369599999,23600.0,3.03
